csv_row_index,merged_row_index,match_flag,recovered_years_joined,Seller Link,Store Name,Year Joined,Total Products,Rating,Review Count,Followers,Total Revenue,Total Review,1 Start,2 Start,3 Start,4 Start,5 Start
1036,1051,,7,https://tiki.vn/cua-hang/tra-dong-son?source_screen=product_detail&source_engine=organic,Trà Đông Sơn,2019,44,4.8,76,20,0,67.0,0.0,0.0,3.0,8.0,56.0
1037,1052,,5,https://tiki.vn/cua-hang/duc-tuan-shop?source_screen=product_detail&source_engine=organic,Đức Tuấn Shop,2021,490,4.6,283,72,8171000,278.0,10.0,2.0,4.0,45.0,217.0
1038,1053,,4,https://tiki.vn/cua-hang/tong-kho-elmic?source_screen=product_detail&source_engine=organic,Tổng kho Elmic,2022,34,4.9,15,10,0,7.0,0.0,0.0,1.0,0.0,6.0
1039,1054,,5,https://tiki.vn/cua-hang/sieu-thi-bo-dam?source_screen=product_detail&source_engine=organic,Siêu Thị Bộ Đàm,2021,101,4.6,182,70,1284000,157.0,4.0,1.0,4.0,27.0,121.0
1040,1055,,4,https://tiki.vn/cua-hang/ecotashop?source_screen=product_detail&source_engine=organic,ECOTAShop,2022,1,0.0,0,1,0,,,,,,
1041,1056,,5,https://tiki.vn/cua-hang/3a-diem-tua-thanh-cong?source_screen=product_detail&source_engine=organic,3A Điểm Tựa Thành Công,2021,68,4.1,11,11,850000,4.0,0.0,0.0,1.0,2.0,1.0
1042,1697,,4,https://tiki.vn/cua-hang/hoang-an-auto?source_screen=product_detail&source_engine=organic,Hoàng An Auto,2022,2,0.0,0,0,0,,,,,,
1043,1515,,3,https://tiki.vn/cua-hang/binh-thuan-ford?source_screen=product_detail&source_engine=organic,Bình Thuận Ford,2023,5,0.0,0,2,0,,,,,,
1044,1059,,5,https://tiki.vn/cua-hang/cua-hang-anhdung?source_screen=product_detail&source_engine=organic,Cửa Hàng ANHDUNG,2021,35,4.9,14,0,0,6.0,0.0,0.0,0.0,0.0,6.0
1045,1060,,3,https://tiki.vn/cua-hang/3lanh?source_screen=product_detail&source_engine=organic,Trầm Hương 3 Lành,2023,50,4.9,8,5,2935826,8.0,0.0,0.0,0.0,1.0,7.0
