satellite_no2,highway_primary,high_traffic,medium_traffic,low_traffic,landuse_industrial_variance,landuse_industrial_distance_mean,landuse_industrial_b5,landuse_residential_b5,landuse_forest_b5,neighbours_no2_variance,neighbours_no2_distance_mean,neighbours_no2_distance_max
5.44E-05,19176.95037,0.213509528,0.331939323,0.299188767,0,0,0,0,0,4.48E-12,2.56E-06,-5.13E-06
5.54E-05,18229.17348,0.225704105,0.364025504,0.331176703,0,0,0,0,0,4.07E-12,3.81E-06,-7.50E-06
5.22E-05,17323.06429,0.251580906,0.399517096,0.363954649,0,0,0,0,0,3.74E-12,9.58E-07,-2.12E-06
5.18E-05,16463.74659,0.287529573,0.437588994,0.3973297,0,0,0,0,0,4.22E-12,7.17E-08,-4.47E-07
5.04E-05,15529.72613,0.330325014,0.477626418,0.431164894,0,0,0,0,0,5.83E-12,1.09E-06,5.00E-06
4.89E-05,14552.40255,0.377676196,0.5191761,0.465361,0,0,0,0,0,6.05E-12,1.43E-06,6.18E-06
4.94E-05,13578.90512,0.376318366,0.217093308,0.330753607,0,0,0,0,0,5.51E-12,1.09E-06,5.69E-06
4.71E-05,12591.07238,0.38594578,0.183028996,0.301284815,0,0,0,0,0,4.41E-12,3.66E-06,7.93E-06
4.72E-05,11515.68346,0.40414974,0.134185418,0.273421664,0,0,0,0,0,3.94E-12,3.51E-06,6.20E-06
4.80E-05,10484.6908,0.429854137,0.085381814,0.247695257,0,0,0,0,0,3.75E-12,3.17E-06,7.03E-06
4.94E-05,9507.054988,0.40106066,0.036771632,0.224823402,0,0,0,0,0,5.28E-12,1.86E-06,5.68E-06
4.91E-05,8341.589469,0.361437368,0.011222567,0.205736357,0,0,0,0,0,5.47E-12,1.80E-06,5.96E-06
4.94E-05,7065.651324,0.327861433,0.058877368,0.191538348,0,0,0,0,0,3.52E-12,1.42E-06,3.89E-06
4.92E-05,5789.797898,0.302322264,0.107621216,0.183336687,0,0,0,0,0,2.30E-12,1.77E-06,4.08E-06
4.94E-05,4514.101025,0.28693775,0.156448702,0.181921175,0,0,0,0,0,1.82E-12,1.55E-06,3.94E-06
4.95E-05,3238.7457,0.283338707,0.205300575,0.187441401,0,0,0,0,0,9.24E-13,1.26E-06,2.88E-06
4.96E-05,1964.397275,0.291954159,0.216236781,0.199336788,0.062222222,0.933333333,0,0,0.125,1.21E-12,1.00E-06,2.80E-06
