original_index,followers,revenue,yearsjoined,rating,goodreview,mediumreview,badreview,fused_1,fused_2,fused_3,fused_4,fused_5,artifact_cluster,reclustered_cluster_raw,reclustered_cluster_aligned
576,-0.07568269992,-0.03737705035,0.5991742694,0.5821533138,0.7256831692,0.5962524624,0.3781787673,-0.090828985,-0.15341431,0.04594381,0.1047126,-0.36848783,0,3,0
577,-0.06473740971,-0.05224169754,-0.004305840521,0.4891413225,0.5787576522,-0.1476967532,-0.2413912412,-0.101660155,-0.13964024,0.013293296,0.07405989,-0.3687452,0,3,0
578,0.07611329576,-0.03304978261,-1.21126606,0.7249218255,0.7750714665,-0.468027217,0.01879264647,-0.18810587,-0.06452902,0.059726253,0.06412818,-0.52755713,2,1,2
579,-0.06545644337,-0.03445685245,-1.21126606,0.3492442396,0.5089390339,-0.34266067,1.535953265,-0.17956293,-0.052373722,0.103406176,0.02436331,-0.5730641,2,1,2
580,0.1400273992,-0.050396689,1.202654379,0.5163539519,0.6959507672,1.454075011,-0.5846507911,-0.10282813,-0.19910464,0.026650563,0.19115148,-0.33633697,3,0,3
581,-0.07456420311,-0.05183273482,-0.6077859505,-0.2389722531,-1.622586598,-0.7247974588,-0.7072697442,-0.19518772,-0.16348755,0.028044268,-0.029826239,-0.5598783,2,1,2
582,-0.03389885479,-0.0515402542,1.202654379,0.4866924566,0.5382521447,-0.2291744616,0.1681633465,-0.103971794,-0.11856276,0.03675581,0.074715704,-0.38849476,0,3,0
583,-0.07560280729,-0.05493183904,0.5991742694,-2.227588243,-2.303363299,-0.7247974588,-0.7072697442,-0.1448645,-0.35130462,0.021381594,-0.0056749284,-0.5726418,4,4,4
584,-0.07376527682,-0.05493183904,1.202654379,0.6210873517,-0.07664281507,-0.7247974588,-0.7072697442,-0.10401593,-0.15889362,0.06252658,0.11225357,-0.41984904,0,3,0
585,-0.05371222686,-0.05434262663,1.202654379,0.645932635,0.8017569163,-0.1182852868,-0.3866668032,-0.08406645,-0.15426387,0.055328175,0.10630163,-0.4012333,0,3,0
586,-0.05467093842,-0.0280862335,-0.004305840521,0.6609492138,0.6630430371,0.3478490269,0.5783803475,-0.10350681,-0.11446157,0.04169497,0.095601484,-0.39896876,0,3,0
587,0.1400273992,-0.01510686195,-0.004305840521,0.6167739481,0.7579624085,0.7313906281,0.4505911261,-0.10118359,-0.09955686,0.04105483,0.13093692,-0.39738348,0,3,0
588,-0.06178138242,-0.04628861508,-1.21126606,0.638311414,0.7916631716,-0.2490380485,-0.3970228063,-0.188128,-0.08300012,0.053688228,0.06058395,-0.4691163,2,1,2
589,-0.07432452522,-0.0513338173,-1.21126606,0.7773159192,0.8563179986,-0.7247974588,-0.5470649342,-0.20007956,-0.079361245,0.0698515,0.055688784,-0.5152359,2,1,2
590,0.1400273992,-0.03969882781,0.5991742694,0.6879409028,0.8197081687,0.4635011856,-0.2456134222,-0.07766064,-0.13891909,0.059549004,0.14069985,-0.40044355,0,3,0
591,-0.007054931347,0.007693702643,0.5991742694,0.6024159286,0.6665980323,1.691880829,0.65867297,-0.13780528,-0.22055756,-0.047404885,0.16908702,-0.36586133,3,0,3
592,0.1400273992,-0.02577560261,-0.004305840521,0.675578416,0.7904022704,0.3447854968,-0.1224412422,-0.09362768,-0.10485211,0.05490375,0.118791915,-0.42241764,0,3,0
593,-0.02678841079,-0.0499272491,0.5991742694,0.7414660541,0.7578622466,-0.04889284999,-0.5054358214,-0.101086296,-0.14320904,0.042142835,0.109132335,-0.39858934,0,3,0
594,-0.06753365173,-0.05485191701,1.202654379,0.4784059783,0.4998892352,1.470100607,0.3688763327,-0.14996809,-0.24073265,-0.042794406,0.13997896,-0.3426031,3,0,3
595,-0.05403179738,-0.05122178617,-0.004305840521,0.3397098007,0.4719349928,1.386770268,1.121796324,-0.13083883,-0.20725425,-0.02196443,0.14542039,-0.34368274,3,0,3
596,0.05214550697,-0.04623330393,0.5991742694,0.4342029215,0.6605125445,1.255975009,0.5964328221,-0.11035519,-0.19244781,-0.007892832,0.1310375,-0.3400933,0,3,0
597,-0.07568269992,-0.0319185033,-0.6077859505,0.2063626501,-0.2996487937,1.916680834,0.6580084102,-0.22358179,-0.24682872,-0.06528795,0.15314423,-0.38683105,3,0,3
598,-0.07568269992,0.008283297655,-0.004305840521,0.6871440142,0.7961129594,-0.01521106904,0.3226245583,-0.080062084,-0.10423754,0.05729051,0.09357375,-0.42085254,0,3,0
599,-0.04915834699,-0.05452797772,-0.6077859505,0.6740089709,0.4431409195,-0.7247974588,-0.5138315772,-0.19291887,-0.116168186,0.024911627,0.07061145,-0.5058928,2,1,2
600,-0.07568269992,-0.0548468156,-0.004305840521,0.01402381236,-0.472394579,0.4195616269,1.761924492,-0.20958342,-0.18429205,-0.0018673241,0.10246467,-0.35442585,3,0,3
601,-0.06409826867,-0.05007870645,0.5991742694,0.508001339,0.7333571427,-0.7247974588,-0.7072697442,-0.07839331,-0.16211852,0.062075675,0.11544366,-0.37837628,0,3,0
602,0.1400273992,-0.02263749814,0.5991742694,0.5361641046,0.717157593,1.581120915,0.5014237567,-0.122600295,-0.18673639,-0.030349791,0.17066672,-0.35777903,3,0,3
603,-0.06393848341,-0.05481365646,1.202654379,0.3804452386,0.2179047715,-0.08324374049,1.607847519,-0.06802301,-0.115164965,0.017946929,0.1216882,-0.4204359,0,3,0
604,0.1400273992,-0.05125891165,-0.004305840521,0.6055786074,0.7805966453,0.9196948829,-0.08854555838,-0.076049104,-0.13783753,0.04133919,0.13993594,-0.41342688,0,3,0
605,-0.02702808867,-0.04296868459,-0.004305840521,0.5723683011,0.7148128345,0.08501015243,0.4187447942,-0.08669079,-0.11008425,0.052662384,0.08748766,-0.39388385,0,3,0
606,-0.02095624885,-0.05051563678,1.202654379,0.6641065658,0.7067908225,0.4619045355,0.1874246743,-0.10678963,-0.13933781,0.045030348,0.09635577,-0.38723493,0,3,0
607,-0.02686830342,-0.01587207287,1.202654379,0.5855510365,0.7591612846,0.05357768647,0.1470811863,-0.08609833,-0.12737417,0.049740333,0.083252124,-0.39175516,0,3,0
608,-0.06905161169,-0.05477403554,-1.21126606,0.3715672001,0.5864135633,-0.7247974588,-0.3789179788,-0.16279379,-0.09085086,0.0410192,0.04264614,-0.46565276,2,1,2
609,-0.07336581367,-0.0144224233,-1.21126606,-0.2287655438,-0.8672275661,-0.7247974588,1.761924492,-0.27495742,-0.27045876,0.04710564,-0.05388683,-0.70369864,1,2,1
610,-0.06098245613,-0.05086856906,1.806134489,0.2864234202,0.2987824147,1.916680834,1.369572109,-0.17169271,-0.27002126,-0.079433054,0.20011842,-0.3016553,3,0,3
611,0.1400273992,-0.0425362554,0.5991742694,0.6921913445,0.7883695406,0.7987086994,0.01837518444,-0.085222416,-0.13508669,0.04948911,0.14702514,-0.39409745,0,3,0
612,-0.07568269992,-0.0540943582,1.202654379,0.5382932758,0.4771084004,1.358259338,0.1628751248,-0.14909142,-0.23271765,-0.03055133,0.13406666,-0.35209495,3,0,3
613,0.04415624404,-0.05493183904,1.202654379,0.589953417,-2.303363299,-0.7247974588,-0.7072697442,-0.15818326,-0.32816893,-0.0010219142,0.02695261,-0.6456831,4,4,4
614,-0.07128860531,-0.05083745049,-0.6077859505,0.4426779269,0.6657476304,-0.2273048536,0.6087424856,-0.12792324,-0.0850274,0.07469621,0.03476291,-0.43946093,2,1,2
615,-0.05131544798,-0.05381123016,-0.004305840521,0.64472977,0.840704522,-0.3861929707,-0.4432483284,-0.09179326,-0.1418495,0.036452405,0.09453398,-0.40335602,0,3,0
616,-0.06234063083,-0.03358243743,-0.004305840521,0.4577900426,0.4004957046,-0.006461150082,1.336712457,-0.123136654,-0.1074073,0.06786166,0.0829605,-0.4165501,0,3,0
617,-0.07568269992,-0.05271102691,-1.81474617,-3.055399464,-2.303363299,-0.7247974588,-0.7072697442,-0.31560588,-0.27678737,0.0066943765,-0.056976676,-0.7709711,1,2,1
618,-0.04356586294,-0.05399658125,-0.004305840521,0.6548261195,0.7406691091,-0.380432398,-0.4294633372,-0.10569573,-0.14018247,0.029554017,0.08872338,-0.40128773,0,3,0
619,-0.07568269992,-0.05305885438,-0.6077859505,0.5626349854,0.1032741887,-0.7247974588,-0.3648122947,-0.16886309,-0.10042154,0.010905072,0.062442616,-0.48343617,2,1,2
620,-0.03429831794,-0.04011480497,-0.004305840521,0.7320476919,0.9144555137,-0.6782499883,-0.7072697442,-0.10168418,-0.1496565,0.066427946,0.10877068,-0.42541006,0,3,0
621,0.02817771818,-0.0331168406,0.5991742694,0.6117925554,0.7735074808,0.9388142711,0.0631673576,-0.085055865,-0.16544142,0.039916888,0.14054114,-0.3807303,0,3,0
622,-0.04164843984,-0.05362613414,-0.6077859505,0.4446838089,0.585439373,-0.1348845332,0.1086451233,-0.14759845,-0.10922189,0.044437706,0.04022716,-0.41738105,2,1,2
623,-0.02287367195,-0.05474393724,0.5991742694,0.4964812513,0.6311621781,-0.3907399087,-0.3781680417,-0.09706555,-0.13921013,0.02574027,0.096871644,-0.37198535,0,3,0
624,-0.07328592104,-0.04538370725,-0.6077859505,-0.7360538959,-0.5164012852,-0.7247974588,1.761924492,-0.16778281,-0.2522769,0.016241685,-0.040094167,-0.5904985,4,4,4
625,-0.074803881,-0.05493183904,0.5991742694,0.2990877056,-0.5651372872,-0.07694123249,1.319609953,-0.14818949,-0.18256767,0.014439851,0.117248386,-0.4023711,0,3,0
626,0.1400273992,-0.01969132558,0.5991742694,0.6108779657,0.6247191518,0.8260397122,0.5346344936,-0.10795446,-0.12200301,0.017316401,0.12708563,-0.35846585,0,3,0
627,-0.03158196854,-0.03648488669,-0.6077859505,0.6179311695,0.7359064358,0.03001929247,-0.1893174617,-0.14821765,-0.105399475,0.05787536,0.06663779,-0.4527933,2,1,2
