job_index,strategy,n_bins,min_support,trial_index,stage,silhouette_score,n_selected_features,selected_features,cluster_sizes,mu_param,gamma,beta,status,error_message,is_best
7,uniform,3,0.65,5,coarse,0.49458548426628113,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[156, 198, 907, 343, 195]",0.2,0.5,3.0,ok,,False
7,uniform,3,0.65,6,coarse,0.49133366346359253,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[157, 190, 910, 350, 192]",0.2,0.5,4.0,ok,,False
7,uniform,3,0.65,7,coarse,0.4936365485191345,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[157, 190, 905, 352, 195]",0.2,0.5,5.0,ok,,False
7,uniform,3,0.65,8,coarse,0.4767237603664398,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[160, 196, 864, 363, 216]",0.2,0.8,2.0,ok,,False
7,uniform,3,0.65,9,coarse,0.49240386486053467,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[157, 198, 904, 343, 197]",0.2,0.8,3.0,ok,,False
7,uniform,3,0.65,10,coarse,0.4934634268283844,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[156, 193, 910, 348, 192]",0.2,0.8,4.0,ok,,False
7,uniform,3,0.65,11,coarse,0.49301818013191223,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[157, 190, 909, 352, 191]",0.2,0.8,5.0,ok,,False
7,uniform,3,0.65,12,coarse,0.4959978759288788,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[158, 205, 824, 381, 231]",0.5,0.2,2.0,ok,,False
7,uniform,3,0.65,13,coarse,0.5027188658714294,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[159, 202, 843, 375, 220]",0.5,0.2,3.0,ok,,False
7,uniform,3,0.65,14,coarse,0.5051834583282471,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[161, 202, 845, 374, 217]",0.5,0.2,4.0,ok,,False
7,uniform,3,0.65,15,coarse,0.5065453052520752,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[160, 202, 850, 374, 213]",0.5,0.2,5.0,ok,,True
7,uniform,3,0.65,16,coarse,0.4925333261489868,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[161, 213, 815, 376, 234]",0.5,0.5,2.0,ok,,False
7,uniform,3,0.65,17,coarse,0.4982353150844574,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[161, 202, 833, 378, 225]",0.5,0.5,3.0,ok,,False
7,uniform,3,0.65,18,coarse,0.5050227046012878,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[161, 202, 844, 377, 215]",0.5,0.5,4.0,ok,,False
7,uniform,3,0.65,19,coarse,0.5054764747619629,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[161, 202, 845, 377, 214]",0.5,0.5,5.0,ok,,False
7,uniform,3,0.65,20,coarse,0.48068860173225403,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[165, 204, 808, 384, 238]",0.5,0.8,2.0,ok,,False
7,uniform,3,0.65,21,coarse,0.4962374269962311,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[162, 202, 825, 383, 227]",0.5,0.8,3.0,ok,,False
7,uniform,3,0.65,22,coarse,0.49978500604629517,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[161, 202, 835, 377, 224]",0.5,0.8,4.0,ok,,False
7,uniform,3,0.65,23,coarse,0.5051850080490112,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[161, 202, 845, 377, 214]",0.5,0.8,5.0,ok,,False
7,uniform,3,0.65,24,coarse,0.49737483263015747,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[162, 216, 787, 385, 249]",0.8,0.2,2.0,ok,,False
7,uniform,3,0.65,25,coarse,0.4972667396068573,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[164, 210, 791, 387, 247]",0.8,0.2,3.0,ok,,False
7,uniform,3,0.65,26,coarse,0.4973512887954712,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[164, 209, 797, 385, 244]",0.8,0.2,4.0,ok,,False
7,uniform,3,0.65,27,coarse,0.4961943030357361,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[164, 207, 800, 385, 243]",0.8,0.2,5.0,ok,,False
7,uniform,3,0.65,28,coarse,0.4912215769290924,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[166, 222, 774, 378, 259]",0.8,0.5,2.0,ok,,False
7,uniform,3,0.65,29,coarse,0.4936310946941376,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[165, 214, 782, 386, 252]",0.8,0.5,3.0,ok,,False
7,uniform,3,0.65,30,coarse,0.4968664050102234,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[164, 213, 788, 385, 249]",0.8,0.5,4.0,ok,,False
7,uniform,3,0.65,31,coarse,0.4951671361923218,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[165, 209, 792, 385, 248]",0.8,0.5,5.0,ok,,False
7,uniform,3,0.65,32,coarse,0.48120951652526855,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[170, 227, 761, 378, 263]",0.8,0.8,2.0,ok,,False
7,uniform,3,0.65,33,coarse,0.4924434423446655,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[166, 215, 779, 383, 256]",0.8,0.8,3.0,ok,,False
7,uniform,3,0.65,34,coarse,0.4957643747329712,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[166, 214, 784, 384, 251]",0.8,0.8,4.0,ok,,False
7,uniform,3,0.65,35,coarse,0.49385184049606323,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[164, 209, 790, 387, 249]",0.8,0.8,5.0,ok,,False
