orig_index,h_0,h_1,h_2,h_3,h_4,cluster
170,-0.24248639,-0.2942617,-0.23351082,-0.032551654,0.15439598,4
171,-0.029763043,-0.18097112,-0.13324659,0.07510336,0.111180045,3
172,0.017918613,-0.18802537,-0.2770372,0.102721065,0.13257484,0
173,-0.026825078,-0.19457072,-0.16386998,0.0486954,0.11468969,3
174,-0.24607454,-0.2496665,-0.24171871,-0.060379982,0.12443891,4
175,0.05281481,-0.15500891,-0.39822313,0.097987175,0.16582213,0
176,0.073396534,-0.10917706,-0.3508865,0.07847303,0.16229396,0
177,-0.28825685,-0.30124652,-0.21708103,-0.06350765,0.104014695,4
178,-0.73855186,-0.43850124,-0.29167858,-0.26788557,-0.18283397,1
179,-0.02368714,-0.20070103,-0.14626637,0.07396688,0.11377589,3
180,-0.039262682,-0.21502165,-0.15817374,0.076163545,0.14848715,3
181,0.0700367,-0.1593199,-0.3873198,0.13308755,0.16954541,0
182,-0.031275503,-0.16186269,-0.14901277,0.060993627,0.13079311,3
183,-0.0013281945,-0.22289203,-0.25147992,0.09905778,0.12018484,3
184,-0.59972644,-0.44117594,-0.30126625,-0.19573131,-0.053889915,1
185,-0.17080636,-0.21776152,-0.18509176,-0.016330287,0.10932389,4
186,-0.22956784,-0.3082416,-0.24419041,-0.06845232,0.15518202,4
187,-0.19498079,-0.2149006,-0.23153837,-0.06544542,0.073753275,4
188,-0.0071390197,-0.2177598,-0.21039242,0.07038552,0.14323284,3
189,-0.2736805,-0.2761621,-0.24223226,-0.030993357,0.1476194,4
190,0.08695249,-0.10963752,-0.4215243,0.12750968,0.16989891,0
191,0.09587897,-0.1270096,-0.390271,0.132979,0.17068377,0
192,-0.0123111885,-0.18406776,-0.18373784,0.09003909,0.12504692,3
193,-0.0049794167,-0.20795211,-0.18159398,0.05442027,0.10882154,3
194,-0.015578896,-0.16845283,-0.16631244,0.045064032,0.11982898,3
195,-0.1159191,-0.22018225,-0.18871126,0.037531834,0.15283132,3
196,0.06800413,-0.1235426,-0.37046486,0.12157193,0.1922144,0
197,-0.034598187,-0.06402215,-0.40794247,0.06622912,0.10509156,0
198,-0.068009466,-0.1981579,-0.15560235,0.0623255,0.114226125,3
199,-0.011207864,-0.1716241,-0.17046,0.0830923,0.14196794,3
200,0.015140042,-0.1614772,-0.2215183,0.09543142,0.15599571,3
201,-0.26391885,-0.30480742,-0.23044904,-0.060435534,0.15891945,4
202,-0.013744593,-0.12692453,-0.12539107,0.045265794,0.12787572,3
203,-0.008386746,-0.21169204,-0.1928432,0.040222827,0.11416547,3
