job_index,group_index,strategy,n_bins,min_support,silhouette_score,n_itemsets,selected_features,init,final_score,best_observed_score
130,6,kmeans,3,0.2,0.4965115785598755,56,"latent3_medium, mediumreview_medium+latent4_medium, mediumreview_medium+goodreview_medium, yearsjoined_low+revenue_high+rating_medium, latent4_high+rating_medium",huang,0.4965115785598755,0.4965115785598755
131,6,kmeans,3,0.15,0.4612464308738708,78,"revenue_high+latent3_medium+rating_medium+yearsjoined_low, latent4_medium+goodreview_medium+mediumreview_medium, latent3_medium+latent4_high",huang,0.4612464308738708,0.4612464308738708
132,6,kmeans,3,0.1,0.3912266790866852,148,,,0.4068583846092224,0.3912266790866852
133,7,kmeans,5,1.0,0.4068583846092224,0,,,0.4068583846092224,-inf
134,7,kmeans,5,0.95,0.4068583846092224,0,,,0.4068583846092224,-inf
135,7,kmeans,5,0.9,0.4068583846092224,0,,,0.4068583846092224,-inf
136,7,kmeans,5,0.85,0.4068583846092224,0,,,0.4068583846092224,-inf
137,7,kmeans,5,0.8,0.4068583846092224,0,,,0.4068583846092224,-inf
138,7,kmeans,5,0.75,0.4068583846092224,0,,,0.4068583846092224,-inf
139,7,kmeans,5,0.7,0.4068583846092224,0,,,0.4068583846092224,-inf
140,7,kmeans,5,0.65,0.4068583846092224,0,,,0.4068583846092224,-inf
141,7,kmeans,5,0.6,0.4068583846092224,0,,,0.4068583846092224,-inf
142,7,kmeans,5,0.55,0.4068583846092224,0,,,0.4068583846092224,-inf
143,7,kmeans,5,0.5,0.4068583846092224,0,,,0.4068583846092224,-inf
144,7,kmeans,5,0.45,0.4249785840511322,1,mediumreview_verylow,huang,0.4249785840511322,0.4249785840511322
145,7,kmeans,5,0.4,0.4249785840511322,4,mediumreview_verylow,huang,0.4249785840511322,0.4249785840511322
146,7,kmeans,5,0.35,0.3983513116836548,7,,,0.4068583846092224,0.3983513116836548
147,7,kmeans,5,0.3,0.3648406267166137,12,,,0.4068583846092224,0.3648406267166137
148,7,kmeans,5,0.25,0.4273474812507629,18,mediumreview_low,huang,0.4273474812507629,0.4273474812507629
149,7,kmeans,5,0.2,0.4273474812507629,31,mediumreview_low,huang,0.4273474812507629,0.4273474812507629
150,7,kmeans,5,0.15,0.4770335853099823,62,"latent2_high, latent4_medium, goodreview_low+mediumreview_low",cao,0.4770335853099823,0.4770335853099823
151,7,kmeans,5,0.1,0.4013765454292297,126,,,0.4068583846092224,0.4013765454292297
152,8,kmeans,7,1.0,0.4068583846092224,0,,,0.4068583846092224,-inf
153,8,kmeans,7,0.95,0.4068583846092224,0,,,0.4068583846092224,-inf
154,8,kmeans,7,0.9,0.4068583846092224,0,,,0.4068583846092224,-inf
155,8,kmeans,7,0.85,0.4068583846092224,0,,,0.4068583846092224,-inf
156,8,kmeans,7,0.8,0.4068583846092224,0,,,0.4068583846092224,-inf
157,8,kmeans,7,0.75,0.4068583846092224,0,,,0.4068583846092224,-inf
158,8,kmeans,7,0.7,0.4068583846092224,0,,,0.4068583846092224,-inf
159,8,kmeans,7,0.65,0.4068583846092224,0,,,0.4068583846092224,-inf
160,8,kmeans,7,0.6,0.4068583846092224,0,,,0.4068583846092224,-inf
161,8,kmeans,7,0.55,0.4068583846092224,0,,,0.4068583846092224,-inf
162,8,kmeans,7,0.5,0.4068583846092224,0,,,0.4068583846092224,-inf
163,8,kmeans,7,0.45,0.4068583846092224,0,,,0.4068583846092224,-inf
164,8,kmeans,7,0.4,0.4068583846092224,0,,,0.4068583846092224,-inf
165,8,kmeans,7,0.35,0.3331075012683868,1,,,0.4068583846092224,0.3331075012683868
166,8,kmeans,7,0.3,0.4054239094257355,6,,,0.4068583846092224,0.4054239094257355
167,8,kmeans,7,0.25,0.4054239094257355,12,,,0.4068583846092224,0.4054239094257355
168,8,kmeans,7,0.2,0.3425478637218475,21,,,0.4068583846092224,0.3425478637218475
169,8,kmeans,7,0.15,0.4299944937229156,36,"latent2_high, mediumreview_low",cao,0.4299944937229156,0.4299944937229156
170,8,kmeans,7,0.1,0.3974283337593078,90,,,0.4068583846092224,0.3974283337593078
