orig_index,h_0,h_1,h_2,h_3,h_4,cluster
149,-0.0676744,-0.029597998,0.2611416,0.15415308,-0.12106306,2
150,-0.18837795,-0.03571751,0.23165093,0.09442797,-0.07932807,2
151,-0.292836,-0.093953,0.21733996,0.067739934,0.011625726,0
152,-0.33116966,-0.06459719,0.20622651,0.056859694,0.0360462,0
153,-0.32080677,0.06364857,0.56550413,-0.121770024,-0.19008955,3
154,-0.32795715,-0.052040484,0.42056844,-0.096238464,-0.099292144,3
155,-0.27186793,-0.021514624,0.39657173,-0.040663034,-0.091140985,3
156,-0.07640648,-0.05585005,0.30396226,0.21295562,-0.12217288,2
157,-0.3450843,0.1026137,0.47965944,-0.111399725,-0.11865215,3
158,-0.07195158,0.008147694,0.23969774,0.13962531,-0.11046526,2
159,-0.1186209,0.028413355,0.25570092,0.07248238,-0.02771306,2
160,-0.2952426,0.0066748774,0.4830821,-0.09658754,-0.15100896,3
161,0.111133434,0.0417035,0.39326507,0.027727012,0.338414,4
162,-0.1706638,-0.042746387,0.2626449,0.057412215,-0.081291296,2
163,-0.07206428,-0.029249653,0.27088016,0.16921897,-0.09744314,2
164,-0.05727741,0.02414462,0.36038947,0.116211,0.20821586,4
165,-0.30098754,0.17684844,0.5115689,-0.10466342,-0.21859993,3
166,-0.14022575,-0.024875231,0.24828663,0.11630451,-0.08577745,2
167,-0.09461412,0.031260464,0.24366279,0.1687431,-0.0653851,2
168,-0.28043,-0.03572009,0.1668314,0.076003715,0.008883327,0
169,-0.34058657,-0.010069758,0.3691761,-0.0034673363,-0.05412201,0
170,-0.21158029,-0.06770169,0.4048876,0.104807004,0.04036528,0
171,-0.24571776,-0.08368319,0.221443,0.046932526,-0.01357978,0
172,-0.2954871,0.12540317,0.48707673,-0.10005792,-0.16959053,3
173,-0.13841435,-0.01786384,0.23332714,0.14419904,-0.06710954,2
174,-0.07037419,-0.017116606,0.24294832,0.15242645,-0.10403503,2
175,-0.25537717,0.094944656,0.4488191,-0.039040644,-0.1435147,3
176,-0.30026254,0.07924172,0.31954896,-0.04735045,-0.1522947,3
177,-0.0673728,0.0036746664,0.34830934,0.09383616,0.01750788,2
178,0.20271777,0.062478364,0.43967205,0.08020805,0.3592283,4
179,-0.23356718,-0.040924117,0.1982385,0.055417523,0.018950557,0
180,-0.3606196,-0.10788047,0.23443916,0.041927893,0.05313413,0
181,-0.2880835,0.12018685,0.55726,-0.05221896,-0.15991862,3
182,-0.27776492,-0.09968099,0.26659292,0.009270556,-0.059368946,0
183,-0.295403,0.10466391,0.48779893,-0.071851775,-0.14705189,3
184,0.036150627,0.0057647675,0.4266556,0.16915977,0.20146927,4
185,-0.12604167,-0.027160862,0.22360615,0.16368327,-0.076638594,2
186,-0.08082515,-0.012387976,0.29441166,0.16606018,-0.12155451,2
187,-0.080188245,0.113380596,0.14742152,0.14387418,0.035850745,2
188,-0.22400463,-0.097817004,0.294531,0.086716115,0.010617144,0
189,-0.103465356,-0.047357142,0.25800914,0.13805112,-0.086538956,2
190,-0.26407227,0.14537664,0.5407805,-0.020817593,-0.22095522,3
191,-0.34343544,0.02409321,0.46512514,-0.061118737,-0.120890185,3
192,-0.20858902,-0.03609343,0.323741,-0.04425387,-0.08986811,0
193,-0.13705373,-0.044071026,0.28812537,0.06608742,-0.09074079,2
194,-0.14613579,-0.02530045,0.20860738,0.084026866,-0.08405052,2
195,-0.17456265,-0.08266142,0.26306403,0.08273867,-0.061327823,2
196,-0.2865206,0.028961562,0.47115546,-0.110097036,-0.15041432,3
197,-0.23865405,0.16609809,0.46191454,0.013676003,-0.1003979,3
198,-0.11196974,-0.015315662,0.23302025,0.12979257,-0.07654704,2
199,-0.19086808,-0.01421072,0.2780769,0.032118108,-0.07296074,2
200,-0.22908163,-0.08267518,0.3255778,-0.01533515,-0.08226405,0
201,-0.07003665,-0.047443386,0.2993889,0.20354368,-0.051824328,2
202,-0.30230564,-0.07534136,0.21145692,-0.029961094,-0.022867084,0
203,-0.16180286,-0.017178118,0.30840707,0.07795315,-0.07191671,2
204,0.10537869,0.043781593,0.4367656,0.06601514,0.24831432,4
205,-0.2066123,-0.06862389,0.19111602,0.082588606,0.007363739,0
206,-0.11262193,-0.03253819,0.2659867,0.11187741,-0.09160131,2
207,0.31658033,0.16293636,0.48108086,-0.091216296,0.58954716,1
208,-0.13583894,-0.007713318,0.19454487,0.1118851,-0.09744886,2
209,-0.37066594,0.16885523,0.40135747,-0.120940596,-0.1985892,3
210,-0.1554476,-0.05408974,0.24691446,0.14812954,-0.06550236,2
211,-0.30251354,-0.101201266,0.2433085,-0.014100999,-0.023627102,0
212,-0.2623758,0.05180216,0.41940665,-0.044310655,-0.10117465,3
213,-0.30215976,0.15959162,0.5603497,-0.06071511,-0.19221976,3
214,-0.30427444,-0.11090402,0.25121576,0.0022783428,0.023145424,0
215,-0.1055776,-0.010326978,0.23104511,0.1272836,-0.10121057,2
216,-0.10396883,-0.027684404,0.2197487,0.17025582,-0.07888952,2
217,-0.06569213,-0.024981722,0.27583566,0.16801718,-0.100505434,2
218,-0.31666452,-0.093308285,0.21377727,0.031559918,0.0153897405,0
219,-0.30052853,0.04115607,0.48785776,-0.057644315,-0.15347293,3
