job_index,strategy,n_bins,min_support,selection_step,candidate_feature,candidate_features,trial_index,stage,silhouette_score,view_weighted_score,n_selected_features,selected_features,cluster_sizes,alpha,mu_param,gamma,beta,status,error_message,is_best
6,uniform,3,0.7,,,,109,refine,0.5165231823921204,0.7328599691390991,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[223, 222, 945, 111, 298]",0.1,0.7,0.8,3.0,ok,,False
6,uniform,3,0.7,,,,110,refine,0.5165231823921204,0.7328599691390991,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[223, 222, 945, 111, 298]",0.1,0.7,0.9,3.0,ok,,False
6,uniform,3,0.7,,,,111,refine,0.5167299509048462,0.7351977825164795,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[221, 217, 933, 128, 300]",0.1,0.8,0.7,3.0,ok,,False
6,uniform,3,0.7,,,,112,refine,0.5166622400283813,0.7356080412864685,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[221, 218, 933, 128, 299]",0.1,0.8,0.8,3.0,ok,,False
6,uniform,3,0.7,,,,113,refine,0.5165231823921204,0.7360159158706665,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[221, 219, 933, 128, 298]",0.1,0.8,0.9,3.0,ok,,False
6,uniform,3,0.7,,,,114,refine,0.5209863781929016,0.7691910266876221,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[269, 217, 810, 204, 299]",0.1,0.9,0.7,3.0,ok,,False
6,uniform,3,0.7,,,,115,refine,0.5209863781929016,0.7691910266876221,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[269, 217, 810, 204, 299]",0.1,0.9,0.8,3.0,ok,,False
6,uniform,3,0.7,,,,116,refine,0.5213918089866638,0.7698502540588379,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[269, 217, 811, 203, 299]",0.1,0.9,0.9,3.0,ok,,True
6,uniform,3,0.7,,,,117,refine,0.5098446607589722,0.6611096262931824,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[169, 214, 950, 168, 298]",0.2,0.7,0.7,3.0,ok,,False
6,uniform,3,0.7,,,,118,refine,0.510163426399231,0.6629069447517395,4,"fused_9_medium, fused_6_low, fused_10_low, fused_5_low","[169, 215, 949, 168, 298]",0.2,0.7,0.8,3.0,ok,,False
